sku,name,quantity,price,supplier,lastRestocked
SKU-00001,Premium Gadget,67,6.29,TechSupply Inc,2024-01-02
SKU-00002,Premium Doohickey,84,7.59,Parts R Us,2024-01-03
SKU-00003,Premium Thingamajig,101,8.89,Global Widgets,2024-01-04
SKU-00004,Premium Whatsit,118,10.19,Supply Chain Co,2024-01-05
SKU-00005,Premium Gizmo,135,11.49,Acme Corp,2024-01-06
SKU-00006,Premium Component,152,12.79,TechSupply Inc,2024-01-07
SKU-00007,Premium Part,169,14.09,Parts R Us,2024-01-08
SKU-00008,Premium Module,186,15.39,Global Widgets,2024-01-09
SKU-00009,Premium Assembly,203,16.69,Supply Chain Co,2024-01-10
SKU-00010,Standard Widget,220,17.99,Acme Corp,2024-01-11
SKU-00011,Standard Gadget,237,19.29,TechSupply Inc,2024-01-12
SKU-00012,Standard Doohickey,254,20.59,Parts R Us,2024-01-13
SKU-00013,Standard Thingamajig,271,21.89,Global Widgets,2024-01-14
SKU-00014,Standard Whatsit,288,23.19,Supply Chain Co,2024-01-15
SKU-00015,Standard Gizmo,305,24.49,Acme Corp,2024-01-16
SKU-00016,Standard Component,322,25.79,TechSupply Inc,2024-01-17
SKU-00017,Standard Part,339,27.09,Parts R Us,2024-01-18
SKU-00018,Standard Module,356,28.39,Global Widgets,2024-01-19
SKU-00019,Standard Assembly,373,29.69,Supply Chain Co,2024-01-20
SKU-00020,Deluxe Widget,390,30.99,Acme Corp,2024-01-21
SKU-00021,Deluxe Gadget,407,32.29,TechSupply Inc,2024-01-22
SKU-00022,Deluxe Doohickey,424,33.59,Parts R Us,2024-01-23
SKU-00023,Deluxe Thingamajig,441,34.89,Global Widgets,2024-01-24
SKU-00024,Deluxe Whatsit,458,6.19,Supply Chain Co,2024-01-25
SKU-00025,Deluxe Gizmo,475,7.49,Acme Corp,2024-01-26
SKU-00026,Deluxe Component,492,8.79,TechSupply Inc,2024-01-27
SKU-00027,Deluxe Part,59,10.09,Parts R Us,2024-01-28
SKU-00028,Deluxe Module,76,11.39,Global Widgets,2024-01-01
SKU-00029,Deluxe Assembly,93,12.69,Supply Chain Co,2024-01-02
SKU-00030,Basic Widget,110,13.99,Acme Corp,2024-01-03
SKU-00031,Basic Gadget,127,15.29,TechSupply Inc,2024-01-04
SKU-00032,Basic Doohickey,144,16.59,Parts R Us,2024-01-05
SKU-00033,Basic Thingamajig,161,17.89,Global Widgets,2024-01-06
SKU-00034,Basic Whatsit,178,19.19,Supply Chain Co,2024-01-07
SKU-00035,Basic Gizmo,195,20.49,Acme Corp,2024-01-08
SKU-00036,Basic Component,212,21.79,TechSupply Inc,2024-01-09
SKU-00037,Basic Part,229,23.09,Parts R Us,2024-01-10
SKU-00038,Basic Module,246,24.39,Global Widgets,2024-01-11
SKU-00039,Basic Assembly,263,25.69,Supply Chain Co,2024-01-12
SKU-00040,Pro Widget,280,26.99,Acme Corp,2024-01-13
SKU-00041,Pro Gadget,297,28.29,TechSupply Inc,2024-01-14
SKU-00042,Pro Doohickey,314,29.59,Parts R Us,2024-01-15
SKU-00043,Pro Thingamajig,331,30.89,Global Widgets,2024-01-16
SKU-00044,Pro Whatsit,348,32.19,Supply Chain Co,2024-01-17
SKU-00045,Pro Gizmo,365,33.49,Acme Corp,2024-01-18
SKU-00046,Pro Component,382,34.79,TechSupply Inc,2024-01-19
SKU-00047,Pro Part,399,6.09,Parts R Us,2024-01-20
SKU-00048,Pro Module,416,7.39,Global Widgets,2024-01-21
SKU-00049,Pro Assembly,433,8.69,Supply Chain Co,2024-01-22
SKU-00050,Ultra Widget,450,9.99,Acme Corp,2024-01-23
SKU-00051,Ultra Gadget,467,11.29,TechSupply Inc,2024-01-24
SKU-00052,Ultra Doohickey,484,12.59,Parts R Us,2024-01-25
SKU-00053,Ultra Thingamajig,51,13.89,Global Widgets,2024-01-26
SKU-00054,Ultra Whatsit,68,15.19,Supply Chain Co,2024-01-27
SKU-00055,Ultra Gizmo,85,16.49,Acme Corp,2024-01-28
SKU-00056,Ultra Component,102,17.79,TechSupply Inc,2024-01-01
SKU-00057,Ultra Part,119,19.09,Parts R Us,2024-01-02
SKU-00058,Ultra Module,136,20.39,Global Widgets,2024-01-03
SKU-00059,Ultra Assembly,153,21.69,Supply Chain Co,2024-01-04
SKU-00060,Mini Widget,170,22.99,Acme Corp,2024-01-05
SKU-00061,Mini Gadget,187,24.29,TechSupply Inc,2024-01-06
SKU-00062,Mini Doohickey,204,25.59,Parts R Us,2024-01-07
SKU-00063,Mini Thingamajig,221,26.89,Global Widgets,2024-01-08
